country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Afghanistan,1980,21.5,125.1991,37.8,20.4,122.0799,41.7
Angola,1980,20.9,135.1761,39.6,20.1,130.0896,45.6
Albania,1980,25.2,132.927,68,25.2,132.2048,73
Andorra,1980,25.7,140.8585,74.1,25.7,136.604,80.4
United Arab Emirates,1980,24.9,137.6991,66.9,27.2,134.5369,71.7
Argentina,1980,25.4,131.5249,64.8,23.8,124.5106,72.5
Armenia,1980,23.8,136.5225,62.7,25.8,136.2048,69.3
Antigua and Barbuda,1980,23.3,132.5722,70.4,24.2,125.6712,75.7
Australia,1980,24.9,134.2601,71.1,23.6,128.7859,78.2
Austria,1980,24.8,138.3773,69,23.9,133.7925,76
Azerbaijan,1980,24.5,134.7663,57,26.2,132.1517,64.9
Burundi,1980,21.1,129.6529,43.9,19.2,126.9825,46.9
Belgium,1980,25.1,136.5173,69.9,25,131.2344,76.7
Benin,1980,20.8,133.6482,45.6,20.9,126.3442,50.2
Burkina Faso,1980,20,131.1054,45.2,19.4,123.964,47.8
Bangladesh,1980,20.5,123.9319,52.8,18.5,120.3476,50.8
Bulgaria,1980,25.3,134.9506,68.5,25.5,135.5276,73.9
Bahrain,1980,24,135.3229,69.8,25.2,138.6,72.2
Bahamas,1980,24.2,136.5903,64.2,25.7,131.8763,71
Bosnia and Herzegovina,1980,25.3,131.8165,67.1,25,131.9444,73.9
Belarus,1980,24.9,137.9993,65.8,26.3,134.3784,74.3
Belize,1980,24.5,127.8844,66.3,25.8,121.7664,69.4
Bermuda,1980,25.1,139.8906,69.5,27.4,136.064,77.7
Bolivia,1980,23,130.244,49.8,23.6,125.0874,52.5
Brazil,1980,22.6,136.6203,59.5,24.1,133.6151,64.2
Barbados,1980,24.4,134.1387,69.4,26.6,129.1401,74.3
Brunei,1980,23.2,137.7054,68.3,23,132.3787,70.5
Bhutan,1980,21.8,122.6822,47.2,20.1,119.0564,49.4
Botswana,1980,19.5,131.8298,57.8,23.4,128.882,63.4
Canada,1980,25.2,131.0402,71.6,24.1,124.8522,78.7
Switzerland,1980,25.2,138.3033,72.2,23.7,131.3064,78.9
Chile,1980,24.5,133.388,65.9,24,130.0642,71.9
China,1980,21.6,129.1048,62.2,21.9,125.7083,66.7
Cote d'Ivoire,1980,21.1,136.5051,50.4,21.3,130.272,54.5
Cameroon,1980,21.8,132.8411,49.6,21.5,125.8566,52.4
"Congo, Dem. Rep.",1980,20.8,133.9859,44.6,19.8,129.7032,46.3
"Congo, Rep.",1980,20.6,136.5711,53.7,19.8,132.7139,59.6
Colombia,1980,22.1,132.2899,64.2,23.4,127.6211,69.6
Comoros,1980,21,131.4957,49.2,20.8,126.6428,52.6
Cape Verde,1980,20.7,136.7565,61.1,20.8,128.6364,61.7
Costa Rica,1980,23.7,131.1291,70.7,23.4,125.2984,75.2
Cuba,1980,22.7,130.41,70.9,23.8,126.513,74.9
Cyprus,1980,25.3,134.2823,69.5,23.8,130.503,74.5
